a2ps	4.14	Any-to-PostScript filter
twemcache	v2.6.0	Twitter fork of memcached
two-lame	0.3.13	Optimized MPEG Audio Layer 2 (MP2) encoder
txt2man	1.5.6	Convert flat ASCII text to man page format
txt2tags	2.6	Conversion tool to generating several file formats
typesafe-activator	1.3.6	Tools for working with Typesafe Reactive Platform
typespeed	0.6.5	Zap words flying across the screen by typing them correctly
u-boot-tools	2015.01	Universal boot loader
uade	2.13	Play Amiga tunes through UAE emulation
uberftp	2_7	Interactive GridFTP client
uchardet	0.0.1	Encoding detector library
ucl	1.03	Data compression library with small memory footprint
ucommon	6.2.2	GNU C++ runtime library for threads, sockets, and parsing
ucspi-tcp	0.88	Tools for building TCP client-server applications
ucspi-tools	v1.2	Various tools to handle UCSPI connections
udis86	1.7.2	Minimalistic disassembler library for x86
udns	0.4	DNS resolver library
udptunnel	1.1	Tunnel UDP packets over a TCP connection
udpxy	1.0.23-9	UDP-to-HTTP multicast traffic relay daemon
udunits	2.2.19	Unidata unit conversion library
ufraw	0.22	Unidentified Flying RAW: RAW image processing utility
uhd	003_009_001	Hardware driver for all USRP devices.
uim	1.6.0	Multilingual input method library
unac	1.8.0	C library and command that removes accents from a string
unar	1.8.1	RAR archive command-line tools
unarj	2.65	ARJ file archiver
unbound	1.5.4	Validating, recursive, caching DNS resolver
uncrustify	0.61	Source code beautifier
unfs3	0.9.22	User-space NFSv3 server
uni2ascii	4.18	Bi-directional conversion between UTF-8 and various ASCII flavors
unibilium	v1.2.0	Very basic terminfo library.
unifdef	2.10	Selectively process conditional C preprocessor directives
unison	2.48.3	Unison file synchronizer
unittest	0.50-62	C++ Unit Test Framework
unittest-cpp	v1.4	Unit testing framework for C++
unixodbc	2.3.2	ODBC 3 connectivity for UNIX
unoconv	0.7	Convert between any document format supported by OpenOffice
unp	2.0-pre4	Unpack everything with one command
unpaper	6.1	Post-processing for scanned/photocopied books
unrar	5.2.7	Extract, view, and test RAR archives
unrtf	0.21.9	RTF to other formats converter
unshield	1.0	Extract files from InstallShield cabinet files
unyaffs	0.9.6	Extract files from a YAFFS2 filesystem image
uptimed	v0.4.0	Utility to track your highest uptimes
upx	3.91	Compress/expand executable files
uriparser	0.8.2	URI parsing library (strictly RFC 3986 compliant)
urlview	0.9	URL extractor/launcher
uru	v0.8.0	Use multiple rubies on multiple platforms
usbmuxd	1.0.10	USB multiplexor daemon for iPhone and iPod Touch devices
userspace-rcu	0.8.7	Library for userspace RCU (read-copy-update)
utimer	0.4	Multifunction timer tool
uudeview	0.5.20	Smart multi-file multi-part decoder
uwsgi	2.0.11.1	Full stack for building hosting services
v	v1.0	Node version management
v8	4.5.103.35	Google's JavaScript engine
vala	0.34.2	Compiler for the GObject type system
valabind	0.9.2	Vala bindings for radare, reverse engineering framework
valgrind	3.11.0	Dynamic analysis tools (memory, debug, profiling)
validns	0.8	DNS/DNSSEC zone validator
valkyrie	2.0.0	GUI for Memcheck and Helgrind tools in Valgrind 3.6.X
varnish	4.0.3	High-performance HTTP accelerator
vassh	0.2	Vagrant Host-Guest SSH Command Wrapper/Proxy/Forwarder
vault	v0.3.0	secures, stores, and tightly controls access to secrets
vault-cli	3.1.6	Subversion-like utility to work with Jackrabbit FileVault
vavrdiasm	3.1	8-bit Atmel AVR disassembler
vbindiff	3.0_beta4	Visual Binary Diff
vc4asm	v0.1.8	Macro assembler for Broadcom VideoCore IV aka Raspberry Pi GPU
vcdimager	0.7.24	(Super) video CD authoring solution
vcodex	2013-05-31	Standalone vczip command and vcodex library
vcprompt	1.2.1	Provide version control info in shell prompts
vcsh	v1.20150502-1	Config manager based on git
vde	2-2.3.2	Ethernet compliant virtual network
vdirsyncer	0.6.0	Synchronize calendars and contacts
vegeta	v5.8.0	HTTP load testing tool and library
vera++	1.3.0	Programmable tool for C++ source code
verilator	3.874	Verilog simulator
vert.x	3.0.0	Application platform for the JVM
vf	0.0.1	Enhanced version of `cd` command
vgmstream	r1040	Library for playing streamed audio formats from video games
vice	2.4	Versatile Commodore Emulator
viennacl	1.7.0	ViennaCL is a linear algebra library leveraging parallel computation.
vifm	0.8	Ncurses based file manager with vi like keybindings
vilistextum	2.6.9	HTML to text converter
vim	v7.4.884	Vi workalike with many additional features
vimpager	2.06	Use ViM as PAGER
vimpc	0.09.1	Ncurses based mpd client with vi like key bindings
vip	19971113	Program that provides for interactive editing in a pipeline
virtualhost.sh	1.35	Script for OS X to create Apache virtual hosts
virtualpg	1.0.1	Loadable dynamic extension for SQLite and SpatiaLite
virtuoso	7.2.0-1	High-performance object-relational SQL database
visionmedia-watch	0.3.1	Periodically executes the given command
visitors	0.7	eb server log analyzer
visualnetkit	1.4	Graphical environment to configure and manage Netkit lab
vit	1.2	Front-end for Task Warrior
vmalloc	2013-05-31	Standalone aso+cdt+vmalloc library
vncsnapshot	1.2a	Command-line utility for taking VNC snapshots
vnstat	1.14	Console-based network traffic monitor
vnu	20150412	Nu Markup Checker: command-line and server HTML validator
volatility	2.4	Advanced memory forensics framework
voldemort	1.9.5	Distributed key-value storage system
voltdb	3.7	Horizontally-scalable, in-memory SQL RDBMS
voms	2_0_11	Virtual organization membership service
vorbis-tools	1.4.0	Ogg Vorbis CODEC tools
vorbisgain	0.37	Add Replay Gain volume tags to Ogg Vorbis files
vowpal-wabbit	8.0	Online learning algorithm
vpcs	0.6	Virtual PC simulator for testing IP routing
vpnc	0.5.3r550	Cisco VPN concentrator client
vramsteg	1.0.1	Add progress bars to command-line applications
vrpn	07_33	Virtual reality peripheral network
vsftpd	3.0.3	Secure FTP server for UNIX
vstr	1.0.15	C string library
vtclock	2005-02-20	Text-mode fullscreen digital clock
vte	0.28.2	Terminal emulator widget used by GNOME terminal
vte3	0.40.2	Terminal emulator widget used by GNOME terminal
vttest	20140305	Test compatibility of VT100-compatible terminals
w-calc	2.5	Very capable calculator
w3m	0.5.3	Pager/text based browser
wait_on	1.1	Provides shell scripts with access to kqueue(3)
wakatime-cli	4.0.14	Command-line interface to the WakaTime api
wakeonlan	0.41	Sends magic packets to wake up network-devices
waon	v0.11	Wave-to-notes transcriber
wartremover	0.13	Flexible Scala code linting tool
watch	3.3.10	Executes a program periodically, showing output fullscreen
watch-sim	1.0.0	Command-line WatchKit application launcher
watchman	v3.8.0	Watch files and take action when they change
wavpack	4.75.0	Hybrid lossless audio compression
wbox	5	HTTP testing tool and configuration-less HTTP server
wdiff	1.2.2	Display word differences between text files
web100clt	3.7.0.2	Command-line version of NDT diagnostic client
webalizer	2.23-08	Web server log file analysis
webarchiver	0.9	allows you to create Safari .webarchive files
webfs	1.21	HTTP server for purely static content
webkit2png	v0.7	Create screenshots of webpages from the terminal
webp	0.4.3	Image format providing lossless and lossy compression for web images
weechat	1.3	Extensible IRC client
weighttp	0.3	Webserver benchmarking tool that supports multithreading
wellington	v0.9.3	Adds file awareness to SASS
wemux	v3.2.0	Enhances tmux's to provide multiuser terminal multiplexing
wget	1.16.3	Internet file retriever
wgetpaste	2.26	Automate pasting to a number of pastebin services
whatmask	1.2	Network settings helper
when	1.1.34	Tiny personal calendar
whereami	v1.0	Provides user's current location from the command-line
whirr	0.8.2	Set of libraries for running cloud services
whitedb	0.7.3	Lightweight in-memory NoSQL database library
whohas	0.29	Query multiple distributions' package archives
why3	0.86.1	Platform for deductive program verification
wifi-password	0.1.0	Show the current WiFi network password
wiggle	1.0	Program for applying patches with conflicting changes
wildfly-as	9.0.1	Managed application runtime for building applications
wimlib	1.8.2	Library to create, extract, and modify Windows Imaging files
wine	1.6.2	Wine Is Not an Emulator
winetricks	20150810	Download and install various runtime libraries
winexe	1.00	Remote Windows-command executor
wireshark	1.12.7	Graphical network analyzer and capture tool
wirouter_keyrec	1.1.2	Recover the default WPA passphrases from supported routers
with-readline	0.1.1	Allow GNU Readline to be used with arbitrary programs
wla-dx	v9.6	Yet another crossassembler package
wordnet	3.0	Lexical database for the English language
wordplay	7.22	Anagram generator
wput	0.6.2	Tiny, wget-like FTP client for uploading files
wrangler	1.1.01	Refactoring tool for Erlang with emacs and Eclipse integration
writerperfect	0.9.4	Library for importing WordPerfect documents
wrk	4.0.1	HTTP benchmarking tool
wrk-trello	1.0.1	Command-line interface to Trello
wry	v1.8.2	Command-line App.net tool
wslay	1.0.0	C websocket library
wsmancli	2.3.1	Openwsman command-line client
wtf	20141212	Translate common Internet acronyms
wv	1.2.9	Programs for accessing Microsoft Word documents
wv2	0.4.2	Programs for accessing Microsoft Word documents
wwwoffle	2.9	Better browsing for computers with intermittent connections
wxmac	3.0.2	wxWidgets, a cross-platform C++ GUI toolkit (for OS X)
wxpython	3.0.2.0	Python bindings for wxWidgets
wy60	2.0.9	Wyse 60 compatible terminal emulator
wyrd	1.4.6	Ncurses-based front-end for remind
x11vnc	0.9.13	VNC server for real X displays
x264	r2555	H.264/AVC encoder
x265	x265_1.7	H.265/HEVC encoder
xa	2.3.7	6502 cross assembler
xapian	1.2.19	C++ search engine library with many bindings
xar-mackyle	1.6.1	eXtensible ARchiver
xaric	0.13.6	IRC client
xbee-comm	v1.5	XBee communication libraries and utilities
xcproj	0.1.2	Manipulate Xcode project files
xctool	v0.2.6	Drop-in replacement for xcodebuild with a few extra features
xdelta	3-3.0.10	Binary diff, differential compression tools
xdot	0.6	Interactive viewer for graphs written in Graphviz's dot language.
xerces-c	3.1.2	Validating XML parser
xhyve	v0.2.0	xhyve, lightweight OS X virtualization solution based on FreeBSD's bhyve
xlslib	2.4.0	C++/C library to construct Excel .xls files in code
xml-coreutils	0.8.1	Powerful interactive system for text processing
xml-security-c	1.7.3	Implementation of primary security standards for XML
xml-tooling-c	1.5.3	Provides a higher level interface to XML processing
xml2	0.5	Makes XML and HTML more amenable to classic UNIX text tools
xmlcatmgr	2.2	Manipulate SGML and XML catalogs
xmlformat	1.04	Format XML documents
xmlrpc-c	1.33.17	Lightweight RPC library (based on XML and HTTP)
xmlsh	1_2_5	XML shell
xmlstarlet	1.6.1	XML command-line utilities
xmlto	0.0.26	Convert XML to another format (based on XSL or other tools)
xmltoman	0.4	XML to manpage converter
xmp	4.0.10	Command-line player for module music formats (MOD, S3M, IT, etc)
xonsh	0.1.5	Python-ish, BASHwards-compatible shell language and command prompt
xorriso	1.4.0	ISO9660+RR manipulation tool
xplanet	1.3.0	Create HQ wallpapers of planet Earth
xplanetfx	2.6.6	Configure, run or daemonize xplanet for HQ Earth wallpapers
xqilla	2.3.1	XQuery and XPath 2 command-line interpreter
xrootd	4.1.1	High performance, scalable, fault-tolerant access to data
xsane	0.999	Graphical scanning frontend
xsd	4.0.0	XML Data Binding for C++
xsp	3.0.11	Mono's ASP.NET hosting server
xspin	5.2.5	Software verification tool (developed at Bell Labs)
xstow	1.0.2	Extended replacement for GNU Stow
xsw	0.3.5	Slide show presentation tool
xtail	2.1	Watch growth of multiple files or directories (like `tail -f`)
xtitle	1.0.4	Set window title and icon for your X terminal
xulrunner	33.0	Mozilla runtime package to bootstrap XUL+XPCOM applications
xvid	1.3.4	High-performance, high-quality MPEG-4 video library
xz	5.2.1	General-purpose data compression with high compression ratio
yacas	1.3.4	General purpose computer algebra system
yaf	2.7.1	Yet another flowmeter: processes packet data from pcap(3)
yafc	1.3.6	Command-line FTP client
yajl	2.1.0	Yet Another JSON Library
yamcha	0.33	NLP text chunker using Support Vector Machines
yamdi	1.9	Add metadata to Flash video
yaml-cpp	0.5.2	C++ YAML parser and emitter for YAML 1.2 spec
yap	6.2.2	Prolog compiler designed for performance and extensibility
yara	v3.4.0	Malware identification and classification tool
yash	2.37	Yet another shell: a POSIX-compliant command-line shell
yasm	1.3.0	Modular BSD reimplementation of NASM
yaws	2.0	Webserver for dynamic content (written in Erlang)
yaz	5.14.4	Toolkit for Z39.50/SRW/SRU clients/servers
yaze-ag	2.30.1	Yet Another Z80 Emulator (by AG)
yazpp	1.6.2	C++ API for the Yaz toolkit
yconalyzer	1.0.4	TCP traffic analyzer
yelp-tools	3.18.0	Tools that help create and edit Mallard or DocBook documentation.
yelp-xsl	3.18.0	Yelp's universal stylesheets for Mallard and DocBook
yeti	v0.9.9	ML-style functional programming language that runs on the JVM
ykclient	2.14	Library to validate YubiKey OTPs against YubiCloud
ykpers	1.17.1	YubiKey personalization library and tool
yle-dl	2.7.2	Download Yle videos from the command-line
youtube-dl	2016.10.26	Download YouTube videos from the command-line
yubico-piv-tool	1.0.0	Command-line tool for the YubiKey NEO PIV applet
yuicompressor	2.4.8	Yahoo! JavaScript and CSS compressor
yydecode	0.2.10	Decode yEnc archives
z	v1.8	Tracks most-used directories to make cd smarter
z80asm	1.8	Assembler for the Zilog Z80 microprcessor and compatibles
z80dasm	1.1.3	Disassembler for the Zilog Z80 microprocessor and compatibles
zabbix	2.4.6	Availability and monitoring solution
zbackup	1.4.4	Globally-deduplicating backup tool (based on ideas in rsync)
zbar	0.10	Suite of barcodes-reading tools
zdelta	2.1	Lossless delta compression library
zebra	2.0.60	Information management system
zeromq	4.1.3	High-performance, asynchronous messaging library
zile	2.4.11	Zile Is Lossy Emacs (ZILE)
zinc	0.3.7	Stand-alone version of sbt's Scala incremental compiler
zint	2.4.3	Barcode encoding library supporting over 50 symbologies
zlib	1.2.11	General-purpose lossless data-compression library
zmap	v2.1.1	Network scanner for Internet-wide network studies
zmqpp	4.1.2	High-level C++ binding for zeromq
znc	1.6.1	Advanced IRC bouncer
zookeeper	3.4.6	Centralized server for distributed coordination of services
zopfli	1.0.0	New zlib (gzip, deflate) compatible compressor
zorba	3.0	NoSQL query processor
zpaq	7.0.5	Incremental, journaling command-line archiver
zpython	5.0.5	Embeds a Python interpreter into zsh
zsh	5.2	UNIX shell (command interpreter)
zsh-completions	0.12.0	Additional completion definitions for zsh
zsh-history-substring-search	v1.0.0	Zsh port of Fish shell's history search
